   6.0        0.873710
  12.0        0.954581
  18.0        0.457730
  24.0       -0.046060
  30.0        0.427644
  36.0        0.731125
  42.0       -0.095176
  48.0       -1.266125
  54.0       -1.276902
  60.0       -0.604740
  66.0        0.155496
  72.0        0.248324
  78.0        0.126064
  84.0        0.397310
  90.0        0.941094
  96.0        0.828622
 102.0        0.076516
 108.0       -0.647323
 114.0       -0.722726
 120.0       -0.544618
 126.0       -0.306037
 132.0       -0.480567
 138.0       -0.605070
 144.0        0.123395
 150.0        0.810563
 156.0        0.950165
 162.0        0.480450
 168.0        0.090196
 174.0        0.072968
 180.0        0.073839
 186.0       -0.373517
 192.0       -1.017743
 198.0       -0.824393
 204.0       -0.321974
 210.0        0.236092
 216.0        0.261296
 222.0        0.632784
 228.0        0.547249
 234.0        0.703217
 240.0        0.442555
