  89.0    0.921076    0.072661
  89.5    0.955182    0.063294
  90.0    0.984385    0.053109
  90.5    1.008306    0.042232
  91.0    1.026633    0.030797
  91.5    1.039120    0.018936
  92.0    1.045586    0.006782
  92.5    1.045918   -0.005535
  93.0    1.040067   -0.017888
  93.5    1.028046   -0.030156
  94.0    1.009927   -0.042221
  94.5    0.985840   -0.053974
  95.0    0.955968   -0.065309
  95.5    0.920545   -0.076129
  96.0    0.879852   -0.086342
  96.5    0.834215   -0.095866
  97.0    0.783997   -0.104627
  97.5    0.729598   -0.112558
  98.0    0.671448   -0.119605
  98.5    0.610001   -0.125722
  99.0    0.545733   -0.130875
  99.5    0.479132   -0.135040
 100.0    0.410697   -0.138206
 100.5    0.340929   -0.140371
 101.0    0.270327   -0.141544
 101.5    0.199384   -0.141745
 102.0    0.128581   -0.141001
 102.5    0.058381   -0.139347
 103.0   -0.010769   -0.136826
 103.5   -0.078449   -0.133485
 104.0   -0.144260   -0.129377
 104.5   -0.207832   -0.124557
 105.0   -0.268823   -0.119082
 105.5   -0.326921   -0.113014
 106.0   -0.381844   -0.106412
 106.5   -0.433341   -0.099339
 107.0   -0.481192   -0.091858
 107.5   -0.525208   -0.084032
 108.0   -0.565233   -0.075925
 108.5   -0.601143   -0.067602
 109.0   -0.632845   -0.059128
 109.5   -0.660280   -0.050569
 110.0   -0.683424   -0.041993
 110.5   -0.702283   -0.033468
 111.0   -0.716902   -0.025063
 111.5   -0.727357   -0.016849
 112.0   -0.733761   -0.008895
 112.5   -0.736262   -0.001271
 113.0   -0.735042    0.005953
 113.5   -0.730319    0.012711
 114.0   -0.722340    0.018939
 114.5   -0.711388    0.024577
 115.0   -0.697771    0.029571
 115.5   -0.681824    0.033872
 116.0   -0.663905    0.037441
 116.5   -0.644388    0.040249
 117.0   -0.623660    0.042274
 117.5   -0.602116    0.043509
 118.0   -0.580152    0.043956
 118.5   -0.558160    0.043630
 119.0   -0.536521    0.042557
 119.5   -0.515600    0.040778
 120.0   -0.495739    0.038340
 120.5   -0.477254    0.035304
 121.0   -0.460429    0.031738
 121.5   -0.445509    0.027718
 122.0   -0.432703    0.023327
 122.5   -0.422174    0.018651
 123.0   -0.414042    0.013783
 123.5   -0.408381    0.008814
 124.0   -0.405218    0.003838
 124.5   -0.404533   -0.001053
 125.0   -0.406261   -0.005768
 125.5   -0.410291   -0.010220
 126.0   -0.416472   -0.014327
 126.5   -0.424610   -0.018013
 127.0   -0.434477   -0.021208
 127.5   -0.445811   -0.023850
 128.0   -0.458322   -0.025887
 128.5   -0.471694   -0.027276
 129.0   -0.485594   -0.027983
 129.5   -0.499675   -0.027986
 130.0   -0.513579   -0.027272
 130.5   -0.526947   -0.025839
 131.0   -0.539419   -0.023695
 131.5   -0.550645   -0.020859
 132.0   -0.560281   -0.017355
 132.5   -0.568004   -0.013218
 133.0   -0.573505   -0.008489
 133.5   -0.576499   -0.003215
 134.0   -0.576726    0.002555
 134.5   -0.573952    0.008764
 135.0   -0.567970    0.015355
 135.5   -0.558605    0.022269
 136.0   -0.545709    0.029445
 136.5   -0.529168    0.036821
 137.0   -0.508896    0.044335
 137.5   -0.484842    0.051924
 138.0   -0.456982    0.059524
 138.5   -0.425326    0.067073
 139.0   -0.389918    0.074507
 139.5   -0.350829    0.081760
 140.0   -0.308167    0.088766
 140.5   -0.262071    0.095460
 141.0   -0.212715    0.101774
 141.5   -0.160306    0.107639
 142.0   -0.105084    0.112986
 142.5   -0.047328    0.117746
 143.0    0.012654    0.121852
 143.5    0.074517    0.125238
 144.0    0.137885    0.127840
 144.5    0.202352    0.129603
 145.0    0.267483    0.130473
 145.5    0.332821    0.130408
 146.0    0.397888    0.129373
 146.5    0.462193    0.127346
 147.0    0.525235    0.124316
 147.5    0.586511    0.120285
 148.0    0.645523    0.115269
 148.5    0.701785    0.109298
 149.0    0.754828    0.102413
 149.5    0.804206    0.094670
 150.0    0.849507    0.086137
 150.5    0.890354    0.076891
 151.0    0.926410    0.067019
 151.5    0.957386    0.056618
 152.0    0.983042    0.045789
 152.5    1.003190    0.034640
 153.0    1.017697    0.023283
 153.5    1.026488    0.011833
 154.0    1.029546    0.000409
 154.5    1.026913   -0.010871
 155.0    1.018691   -0.021887
 155.5    1.005042   -0.032522
 156.0    0.986185   -0.042660
 156.5    0.962397   -0.052190
 157.0    0.934009   -0.061007
 157.5    0.901403   -0.069014
 158.0    0.865007   -0.076124
 158.5    0.825290   -0.082264
 159.0    0.782753   -0.087372
 159.5    0.737925   -0.091406
 160.0    0.691353   -0.094338
 160.5    0.643591   -0.096161
 161.0    0.595193   -0.096886
 161.5    0.546704   -0.096541
 162.0    0.498649   -0.095173
 162.5    0.451527   -0.092843
 163.0    0.405800   -0.089627
 163.5    0.361892   -0.085614
 164.0    0.320177   -0.080899
 164.5    0.280983   -0.075586
 165.0    0.244581   -0.069783
 165.5    0.211189   -0.063601
 166.0    0.180969   -0.057149
 166.5    0.154028   -0.050539
 167.0    0.130419   -0.043876
 167.5    0.110141   -0.037265
 168.0    0.093143   -0.030804
 168.5    0.079326   -0.024586
 169.0    0.068547   -0.018699
 169.5    0.060618   -0.013224
 170.0    0.055315   -0.008234
 170.5    0.052376   -0.003795
 171.0    0.051512    0.000034
 171.5    0.052404    0.003203
 172.0    0.054711    0.005674
 172.5    0.058074    0.007414
 173.0    0.062122    0.008402
 173.5    0.066474    0.008627
 174.0    0.070748    0.008087
 174.5    0.074562    0.006790
 175.0    0.077540    0.004754
 175.5    0.079318    0.002005
 176.0    0.079549   -0.001420
 176.5    0.077903   -0.005478
 177.0    0.074076   -0.010117
